Волинська,Дніпропетровська,Київська,Луганська,Миколаївська,Полтавська,Чернівецька,Київ,Севастополь,Україна
0.28735632183908,0.657894736842105,1,0.330097087378641,1,0.0344827586206895,0.350649350649351,0.68,1,1
0.275862068965517,0.736842105263158,0.41717791411043,0.815533980582524,0.684210526315789,0.0919540229885056,0.402597402597403,0.893333333333333,0.888888888888889,0.75
0.402298850574713,0.842105263157895,0.361963190184049,1,0.771929824561403,0.126436781609195,0.350649350649351,1,0.851851851851852,0.517857142857143
0.367816091954023,0.5,0.312883435582822,0.805825242718447,0.56140350877193,0.103448275862069,0.233766233766234,0.626666666666667,0.740740740740741,0.339285714285714
0.517241379310345,0.526315789473684,0.00613496932515341,0.737864077669903,0.719298245614035,0.298850574712644,0.246753246753247,0.76,0.759259259259259,0.125
1,0.552631578947368,0.251533742331288,0.737864077669903,0.421052631578947,0.436781609195402,0.25974025974026,0.613333333333333,0.407407407407407,0.142857142857143
0.954022988505747,0.473684210526316,0.134969325153374,0.815533980582524,0.754385964912281,0.666666666666666,0.311688311688312,0.693333333333333,0.722222222222222,0.0714285714285715
0.71264367816092,0.210526315789474,0.0920245398773006,0.601941747572815,0.578947368421053,0.344827586206897,0.298701298701299,0.506666666666666,0.407407407407407,0.0357142857142857
0.425287356321839,0.210526315789474,0.0797546012269939,0.339805825242718,0.491228070175439,0.413793103448276,0.246753246753247,0.506666666666666,0.462962962962963,0
0.367816091954023,0.0789473684210528,0.0429447852760737,0.330097087378641,0.56140350877193,0.586206896551724,0.194805194805195,0.44,0.185185185185185,0.142857142857143
0.0919540229885058,0.157894736842105,0.0674846625766871,0.407766990291262,0.649122807017544,1,0.415584415584416,0.893333333333333,0.222222222222222,0.196428571428571
0.0229885057471266,0.236842105263158,0,0.349514563106796,0.526315789473684,0.390804597701149,0.376623376623377,0.546666666666667,0.314814814814815,0.285714285714286
0,0.368421052631579,0.153374233128834,0.145631067961165,0.526315789473684,0,0.467532467532468,0.28,0.259259259259259,0.482142857142857
0.149425287356322,1,0.202453987730061,0.203883495145631,0.947368421052631,0.218390804597701,1,0.693333333333333,0.555555555555555,1
0.206896551724138,0.605263157894737,0.147239263803681,0.320388349514563,0.631578947368421,0.32183908045977,0.740259740259741,0.8,0.518518518518518,0.839285714285714
0.252873563218391,0.421052631578947,0.141104294478528,0.310679611650485,0.649122807017544,0.206896551724138,0.675324675324676,0.6,0.444444444444444,0.803571428571429
0.425287356321839,0.263157894736842,0.190184049079755,0.184466019417476,0.43859649122807,0.195402298850575,0.480519480519481,0.48,0.333333333333333,0.571428571428571
0.298850574712644,0.18421052631579,0.165644171779141,0.233009708737864,0.526315789473684,0.137931034482759,0.402597402597403,0.493333333333333,0.407407407407407,0.535714285714286
0.206896551724138,0.0263157894736841,0.165644171779141,0.194174757281553,0.192982456140351,0.0574712643678161,0.337662337662338,0.346666666666667,0.240740740740741,0.446428571428571
0.172413793103448,0.0789473684210528,0.276073619631902,0.359223300970874,0.228070175438597,0.126436781609195,0.363636363636364,0.48,0.296296296296296,0.535714285714286
0.103448275862069,0.105263157894737,0.208588957055215,0.223300970873786,0.385964912280702,0.195402298850575,0.25974025974026,0.413333333333333,0.166666666666667,0.482142857142857
0.0574712643678161,0,0.141104294478528,0.145631067961165,0.298245614035088,0.35632183908046,0.220779220779221,0.226666666666667,0.0925925925925926,0.589285714285714
0.103448275862069,0.0263157894736841,0.208588957055215,0.0873786407766989,0,0.379310344827586,0.285714285714286,0.0133333333333333,0.148148148148148,0.5
0.0459770114942529,0,0.147239263803681,0,0.0350877192982456,0.367816091954023,0,0,0,0.339285714285714
